id,lifecycleStatus,aliases,previousName,pricingModel,hasFreeTier,hasFreeTrial,experienceLevel,targetUsers,platforms,apiAvailable,openSource,selfHosted,lastVerifiedAt,verificationSources
cursor,active,,,freemium,true,unknown,unknown,unknown,web|macos|windows|linux,unknown,unknown,unknown,,
d-id,active,,,paid,false,true,unknown,unknown,unknown,unknown,unknown,unknown,,
dall-e-3,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
datarobot,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
debuild,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
decktopus,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
deepai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
describely,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
descript,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
descript-overdub,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
diagram,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
docyt,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
donotpay,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
dreamstudio,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
drift,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
duolingo-max,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
durable,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
educaidor,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
elevenlabs,active,,,freemium,true,unknown,unknown,unknown,unknown,true,unknown,unknown,,
elicit,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
fathom,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
feedhive,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
fig,acquired,Fig|Amazon Q Developer CLI,Fig,unknown,false,unknown,unknown,unknown,cli,unknown,unknown,unknown,,
finalround-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
finance-pal,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
finch,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
firefliesai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
fliki,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
flutterflow,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
forethought,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
framer,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
framer-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
frase,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
freshdesk-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
galileo-ai,acquired,Galileo AI|Google Stitch|UseGalileo,Galileo AI,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
gamma,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
github-copilot,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
glass-health,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
glide,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
gong,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
google-ai-studio,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
gradescope-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
grain,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
grammarly,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
gridlex,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
growthbar,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
happy-scribe,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
harvey-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
help-scout-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
hex,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
heygen,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
hootsuite-insights,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
hostinger-ai-builder,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
hugging-face,active,,,free,true,unknown,unknown,unknown,unknown,unknown,true,unknown,,
hyperwrite,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
hypotenuse-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
ideogram,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
instantlyai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
intercom-fin,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
invideo,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
jasper-ai,active,,,paid,false,true,unknown,unknown,unknown,unknown,unknown,unknown,,
jenni-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
julius-ai,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
kapwing,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
khan-academy-khanmigo,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
khroma,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
kickresume,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
krisp,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
kustomer-ai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lalalai,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
landbot,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lately,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lavender,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lawgeex,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lazyapply,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
legalmation,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lemlist,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
leonardo-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
let's-enhance,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lex,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
looka,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
lumen5,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
luminar-neo,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
magical,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
magician-figma,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
magicschool-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
make-integromat,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
manychat,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
marketmuse,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
mem,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
memorable,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
microsoft-power-automate,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
midjourney,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
mintlify-writer,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
mockup-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
monarch-money,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
monkeylearn,acquired,MonkeyLearn|Medallia Text Analytics,MonkeyLearn,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
