id,lifecycleStatus,aliases,previousName,pricingModel,hasFreeTier,hasFreeTrial,experienceLevel,targetUsers,platforms,apiAvailable,openSource,selfHosted,lastVerifiedAt,verificationSources
perplexity,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pika,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
suno,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
nano-banana,active,,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
canva,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
notion,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
figma,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
capcut,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
google-gemini,active,Bard|Google Bard,Google Bard,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
openai-playground,active,,,paid,false,unknown,unknown,unknown,unknown,true,unknown,unknown,,
microsoft-copilot,active,Bing Chat|Bing AI|Windows Copilot|Office Copilot,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
perplexity-pages,active,,,unknown,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
meta-ai,active,,,free,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
amazon-q,active,AWS Q|Amazon Q Business,,paid,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
apple-intelligence,active,,,free,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
antigravity,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
vercel-ai-sdk,active,,,free,true,unknown,unknown,unknown,unknown,true,true,unknown,,
langchain,active,,,free,true,unknown,unknown,unknown,unknown,true,true,unknown,,
llamaindex,active,,,free,true,unknown,unknown,unknown,unknown,true,true,unknown,,
cloudflare-workers-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,true,unknown,unknown,,
udio,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
luma-ai,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
pika-labs,active,,,freemium,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,
hubspot-ai,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
salesforce-einstein,active,,,enterprise,false,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,,
